,Response,Test Stim,Test Speed,Correct,Time,Stim Time
324,left,mirror,0.0,False,0.9173359870910645,0.48571428571428565
325,left,mirror,32.0,False,0.3996899127960205,0.48571428571428565
326,right,mirror,0.0,False,0.4166128635406494,0.48571428571428565
327,left,log,8.0,False,0.43251705169677734,0.48571428571428565
328,right,mirror,32.0,True,0.40003204345703125,0.48571428571428565
329,left,mirror,-24.0,True,0.6263418197631836,0.48571428571428565
330,right,log,40.0,True,0.36595892906188965,0.48571428571428565
331,left,log,-40.0,True,0.3002281188964844,0.48571428571428565
332,right,log,16.0,True,0.30017590522766113,0.48571428571428565
333,left,log,40.0,False,0.299835205078125,0.48571428571428565
334,right,mirror,32.0,True,0.38249683380126953,0.48571428571428565
335,left,log,16.0,False,0.46645593643188477,0.48571428571428565
336,right,log,40.0,True,0.3486320972442627,0.48571428571428565
337,right,mirror,0.0,False,0.4164121150970459,0.48571428571428565
338,left,mirror,-40.0,True,0.4486699104309082,0.48571428571428565
339,left,mirror,-40.0,True,0.482280969619751,0.48571428571428565
340,right,log,-40.0,False,0.36568403244018555,0.48571428571428565
341,left,mirror,8.0,False,0.44930267333984375,0.48571428571428565
342,right,log,32.0,True,0.4994990825653076,0.48571428571428565
343,left,mirror,-24.0,True,0.3994157314300537,0.48571428571428565
344,right,log,8.0,True,0.4659860134124756,0.48571428571428565
345,left,log,-8.0,True,0.39922666549682617,0.48571428571428565
346,left,mirror,-32.0,True,0.4657578468322754,0.48571428571428565
347,left,log,-8.0,True,0.39945507049560547,0.48571428571428565
348,left,log,8.0,False,0.4492678642272949,0.48571428571428565
349,right,log,32.0,True,0.5000388622283936,0.48571428571428565
350,left,log,-8.0,True,0.4497950077056885,0.48571428571428565
351,left,mirror,8.0,False,0.46642112731933594,0.48571428571428565
352,right,mirror,-40.0,False,0.3655979633331299,0.48571428571428565
353,left,mirror,-40.0,True,0.41594910621643066,0.48571428571428565
354,right,log,40.0,True,0.7155821323394775,0.48571428571428565
355,left,log,-32.0,True,0.4997897148132324,0.48571428571428565
356,right,log,40.0,True,0.31679701805114746,0.48571428571428565
357,left,log,-8.0,True,0.5820438861846924,0.48571428571428565
358,right,mirror,0.0,False,4.4122350215911865,0.48571428571428565
359,left,log,-8.0,True,0.48153018951416016,0.48571428571428565
360,right,mirror,8.0,True,0.39981698989868164,0.48571428571428565
361,left,log,-40.0,True,0.3817179203033447,0.48571428571428565
